Name,Code,Cat Code,Parent Manufacturer
AAF Flanders,AAFI,PT_CAT375988,
Aeonair,AAIR,PT_CAT235509,
"Action Air, LLC",AAL,PT_CATACTIONAIRLLC,
AAON,AAON,PT_CATAAON,
Alternative Air & Store Fixtures,AASF,PT_CAT224060,
Allway Tools Inc,AATI,PT_CAT235536,
Ab&A,ABAA,PT_CAT376042,
Abb Electrification,ABB,PT_CAT375926,
Absocold,ABC,PT_CAT223895,
American Biotech Supply,ABIO,PT_CAT223854,
Arcobaleno,ABLO,PT_CAT224090,
Absorbent Specialty Prod,ABPD,PT_CAT375701,
Ableware Maddak,ABWA,PT_CAT374452,
Aerco Boiler & Water Heater,ABWH,PT_CAT375902,
Ace Brand,ACBD,PT_CAT374208,
AccuTemp,ACC,PT_CAT1000,
Accurex,ACCX,PT_CAT243289,
Acme Engineering,ACE,PT_CAT223815,
Acer,ACEC,PT_CAT375865,
AC Furniture,ACF,PT_CATACFURNITURE,
Anderson Chemical,ACHM,PT_CAT235631,
Ace Hardware,ACHW,PT_CAT374209,
Acorn International,ACIL,PT_CAT375385,
ACL Staticide,ACLS,PT_CAT235712,
Acme Pizza,ACM,PT_CAT223677,
Automation Components Inc,ACMI,PT_CAT375953,
Acme Electric,ACML,PT_CAT375507,
Acorn Engineering,ACRN,PT_CAT224059,
AmerCareRoyal,ACRY,PT_CAT235620,
Advanced Component Services,ACS,PT_CAT2905187,
Ac Safe,ACSF,PT_CAT376041,
Acs Industries,ACSI,PT_CAT374450,
Activeaire,ACTA,PT_CAT374210,
Acuity Brands,ACTB,PT_CAT375496,
Ace Trading,ACTD,PT_CAT235534,
Accutools,ACTL,PT_CAT375995,
Action Pump,ACTP,PT_CAT375585,
Accuform,ACUF,PT_CAT374013,
Adcraft,AD,PT_CAT321128,
Adamation,ADA,PT_CAT1001,
Adamatic,ADAM,PT_CAT48070,
American Dryer Laundry,ADC,PT_CATAMDRYER,
Advantus Corporation,ADCP,PT_CAT375772,
Addison,ADD,PT_CAT223816,
Addison Electric,ADDI,PT_CATADDISONELECTRIC,
A & D Engineering Inc,ADEN,PT_CATADENGINEERINGINC,
ADSI,ADI,PT_CAT223955,
Adalet,ADLT,PT_CAT375506,
Administrative,ADMN,PT_CATADMINISTRATIVE,
Adam Equipment,ADQT,PT_CAT374665,
American Dish Service,ADS,PT_CAT1002,Aligroup
Adhesive Technologies,ADTS,PT_CAT375552,
Advance,ADV,PT_CAT224000,
Avantco,ADVA,PT_CAT285087,
Advanced Gourmet,ADVG,PT_CAT375827,
Advance Tabco,ADVT,PT_CAT37077,
American Elite Molding,AEM,PT_CATAMERICANELITEMOLDING,
Aerowerks,AEO,PT_CATAEROWERKS,
Aep Industries,AEPI,PT_CAT374211,
Aero Manufacturing,AER,PT_CATAEROMANUFACTURING,
Aervoid,AERV,PT_CAT224100,
Aunt Fannie,AFAN,PT_CAT374688,
Autofry,AFR,PT_CAT1003,
Afassco,AFSS,PT_CAT374759,
Afs-Tex,AFTX,PT_CAT374807,
Aigner Label Holder,AGNR,PT_CAT375557,
AHT Cooling Systems,AHT,PT_CAT223737,
AIE Caster Company,AIE,PT_CATAIECASTERCOMPANY,
American Intl Electric,AIEC,PT_CAT374056,
Arctiko,AIKO,PT_CAT223956,
Airdyne,AIR,PT_CAT224043,
Airthings,AIRT,PT_CAT375997,
Airwise,AIRW,PT_CATAIRWISE,
Airxchange,AIRX,PT_CAT375951,
Antunes,AJA,PT_CAT1172,
Ajax,AJAX,PT_CAT374213,
Ajm Packaging,AJMP,PT_CAT374453,
Ajax Boiler,AJX,PT_CAT224101,
Akita Refrigeration,AKR,PT_CAT375828,
Akro-Mils,AKRO,PT_CAT374454,
Aleco,AL,PT_CAT224007,
Aladdin Temp-Rite,ALA,PT_CAT1004,Aligroup
A la Cart,ALC,PT_CAT47992,Unified
Alpha Chemical,ALCH,PT_CAT374360,
Allied Converters,ALCN,PT_CAT374455,
Alco Controls,ALCO,PT_CATALCOCONTROLS,
Alc Wireless,ALCW,PT_CAT374809,
All Detergent,ALDT,PT_CAT374810,
Alfa,ALFA,PT_CATALFA,
Alfi,ALFI,PT_CAT374055,
Amflo,ALFLO,PT_CAT376050,
Allegro Industries,ALGI,PT_CAT374811,
Ali Industries Inc,ALIN,PT_CAT235535,
Alpine Industries,ALK,PT_CAT235461,
Allied Electronics,ALL,PT_CATALLIEDELECTRONICS,
Ics,ALL,PT_CAT374950,
All Equipment,ALLE,PT_CATALLEQUIPMENT,
Alliance Laundry Systems,ALLS,PT_CAT374421,
Alliance Manufacturing,ALM,PT_CAT281876,
Allied Moulded,ALMD,PT_CAT375793,
Alan Manufacturing Inc,ALMF,PT_CAT375838,
Allen Bradley,ALNB,PT_CATALLENBRADLEY,
Apollo Products Mfg,ALPD,PT_CAT374818,
"Alpha Protech, Inc",ALPO,PT_CAT374767,
Alera,ALRA,PT_CAT374014,
Allstrong,ALS,PT_CAT223855,
Angel Soft,ALST,PT_CAT374214,
Alto Shaam,ALT,PT_CAT1005,
Alta Industries,ALTA,PT_CAT375784,
Alltrade,ALTD,PT_CAT375809,
Arlington,ALTN,PT_CAT375487,
